"National
Dex","Pokemon
Name",Classification,HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,"Evolution
Method"
659,Bunnelby,,38,36,38,32,36,57,237,Normal,,Pickup,Cheek Pouch,Huge Power,Lv. 20
660,Diggersby,,85,56,77,50,77,78,423,Normal,Ground,Pickup,Cheek Pouch,Huge Power,
661,Fletchling,,45,50,43,40,38,62,278,Normal,Flying,Big Pecks,,Gale Wings,Lv. 17
662,Fletchinder,,62,73,55,56,52,84,382,Fire,Flying,Flame Body,,Gale Wings,Lv. 35
663,Talonflame,,78,81,71,74,69,126,499,Fire,Flying,Flame Body,,Gale Wings,
664,Scatterbug,,38,35,40,27,25,35,200,Bug,,Shield Dust,Compound Eyes,Friend Guard,Lv. 9
665,Spewpa,,45,22,60,27,30,29,213,Bug,,Shed Skin,,Friend Guard,Lv. 12
666,Vivillon (Meadow/Fancy),,80,52,50,90,50,89,411,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,
666.1,Vivillon (Polar/Tundra/Marine),,80,52,50,90,50,89,411,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,
666.2,Vivillon (Continental),,80,52,50,90,50,89,411,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,
666.3,Vivillon (Garden/Savanna/Jungle),,80,52,50,90,50,89,411,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,
666.4,Vivillon (Elegant),,80,52,50,90,50,89,411,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,
666.5,Vivillon (Icy Snow),,80,52,50,90,50,89,411,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,
666.6,Vivillon (Mod/Sun/Ocean/Poke Ball),,80,52,50,90,50,89,411,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,
666.7,Vivillon (HiPl/SS/Arch/Riv),,80,52,50,90,50,89,411,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,
666.8,Vivillon (Monsoon),,80,52,50,90,50,89,411,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,
667,Litleo,,62,50,58,73,54,72,369,Fire,Normal,Rivalry,Unnerve,Moxie,Lv. 35
668,Pyroar,,86,68,72,109,66,106,507,Fire,Normal,Rivalry,Unnerve,Moxie,
669,Flabébé,,44,38,39,61,79,42,303,Fairy,,Flower Veil,,Symbiosis,Lv. 19
670,Floette,,54,45,47,75,98,52,371,Fairy,,Flower Veil,,Symbiosis,Shiny Stone
671,Florges,,78,65,68,112,154,75,552,Fairy,,Flower Veil,,Symbiosis,
672,Skiddo,,66,65,48,62,57,52,350,Grass,,Sap Sipper,,Grass Pelt,Lv. 32
673,Gogoat,,123,100,62,97,81,68,531,Grass,,Sap Sipper,,Grass Pelt,
674,Pancham,,67,82,62,46,48,43,348,Fighting,,Iron Fist,Mold Breaker,Scrappy,Lv. 32 (Dark Type in Party)
675,Pangoro,,95,124,78,69,71,58,495,Fighting,Dark,Iron Fist,Mold Breaker,Scrappy,
676,Furfrou,,75,80,60,65,90,102,472,Normal,,Fur Coat,,,
677,Espurr,,62,48,54,63,60,68,355,Psychic,,Keen Eye,Infiltrator,Own Tempo,Lv. 25 (Male)/Lv. 25 (Male)
678,Meowstic (Female),,74,48,76,83,81,104,466,Psychic,,Keen Eye,Infiltrator,Competitive,
678.1,Meowstic (Male),,74,48,76,83,81,104,466,Psychic,,Keen Eye,Infiltrator,Prankster,
679,Honedge,,45,80,100,35,37,28,325,Steel,Ghost,No Guard,,,Lv. 35
680,Doublade,,59,110,150,45,49,35,448,Steel,Ghost,No Guard,,,Dusk Stone
681,Aegislash (Shield),,60,50,140,50,140,60,500,Steel,Ghost,Stance Change,,,
681.1,Aegislash (Blade),,60,140,50,140,50,60,500,Steel,Ghost,Stance Change,,,
682,Spritzee,,78,52,60,63,65,23,341,Fairy,,Healer,,Aroma Veil,Trade (Holding Sachet)
683,Aromatisse,,101,72,72,99,89,29,462,Fairy,,Healer,,Aroma Veil,
684,Swirlix,,62,48,66,59,57,49,341,Fairy,,Sweet Veil,,Unburden,Trade (Holding Whipped Dream)
685,Slurpuff,,82,80,86,85,75,72,480,Fairy,,Sweet Veil,,Unburden,
686,Inkay,,53,54,53,37,46,45,288,Dark,Psychic,Suction Cups,Contrary,Infiltrator,Lv. 30 (Switch Upside Down)
687,Malamar,,86,92,88,68,75,73,482,Dark,Psychic,Suction Cups,Contrary,Infiltrator,
688,Binacle,,42,52,67,39,56,50,306,Rock,Water,Sniper,Tough Claws,Pickpocket,Lv. 39
689,Barbaracle,,72,105,115,54,86,68,500,Rock,Water,Sniper,Tough Claws,Pickpocket,
690,Skrelp,,50,60,60,60,60,30,320,Poison,Water,Poison Point,Poison Touch,Adaptability,Lv. 48
691,Dragalge,,65,75,90,97,123,44,494,Poison,Dragon,Poison Point,Poison Touch,Adaptability,
692,Clauncher,,50,53,62,58,63,44,330,Water,,Mega Launcher,,,Lv. 37
693,Clawitzer,,71,73,88,120,89,59,500,Water,,Mega Launcher,,,
694,Helioptile,,44,38,33,61,43,70,289,Electric,Normal,Dry Skin,Sand Veil,Solar Power,Sun Stone
695,Heliolisk,,62,55,52,109,94,109,481,Electric,Normal,Dry Skin,Sand Veil,Solar Power,
696,Tyrunt,Fossil,58,89,77,45,45,48,362,Rock,Dragon,Strong Jaw,,Sturdy,Lv. 39 (Day)
697,Tyrantrum,Fossil,82,121,119,69,59,71,521,Rock,Dragon,Strong Jaw,,Rock Head,
698,Amaura,Fossil,77,59,50,67,63,46,362,Rock,Ice,Refrigerate,,Snow Warning,Lv. 39 (Night)
699,Aurorus,Fossil,123,77,72,99,92,58,521,Rock,Ice,Refrigerate,,Snow Warning,
700,Sylveon,Eeveelution,95,65,65,110,130,60,525,Fairy,,Cute Charm,,Pixilate,
701,Hawlucha,,78,92,75,74,63,118,500,Fighting,Flying,Unburden,Limber,Mold Breaker,
702,Dedenne,,67,58,57,81,67,101,431,Electric,Fairy,Cheek Pouch,Pickup,Plus,
703,Carbink,,50,50,150,50,150,50,500,Rock,Fairy,Clear Body,,Sturdy,
704,Goomy,Pseudo Legendary,45,50,35,55,75,40,300,Dragon,,Sap Sipper,Hydration,Gooey,Lv. 40
705,Sliggoo,Pseudo Legendary,68,75,53,83,113,60,452,Dragon,,Sap Sipper,Hydration,Gooey,Lv. 50 (Rain or Fog)
705.1,Sliggoo (Hisuian),"Pseudo Legendary, Hisuian Form",58,75,83,83,113,40,452,Steel,Dragon,Sap Sipper,Shell Armor,Gooey,Lv. 50 (Rain or Fog)
706,Goodra,Pseudo Legendary,90,100,70,110,150,80,600,Dragon,,Sap Sipper,Hydration,Gooey,
706.1,Goodra (Hisuian),"Pseudo Legendary, Hisuian Form",80,100,100,110,150,60,600,Steel,Dragon,Sap Sipper,Shell Armor,Gooey,
707,Klefki,,57,80,91,80,87,75,470,Steel,Fairy,Prankster,,Magician,
708,Phantump,,43,70,48,50,60,38,309,Ghost,Grass,Natural Cure,Frisk,Harvest,Trade
709,Trevenant,,85,110,76,65,82,56,474,Ghost,Grass,Natural Cure,Frisk,Harvest,
710,Pumpkaboo (Small),,44,66,70,44,55,56,335,Ghost,Grass,Pickup,Frisk,Insomnia,Trade
710.1,Pumpkaboo (Average),,49,66,70,44,55,51,335,Ghost,Grass,Pickup,Frisk,Insomnia,Trade
710.2,Pumpkaboo (Large),,54,66,70,44,55,46,335,Ghost,Grass,Pickup,Frisk,Insomnia,Trade
710.3,Pumpkaboo (Super Size),,59,66,70,44,55,41,335,Ghost,Grass,Pickup,Frisk,Insomnia,Trade
711,Gourgeist (Small),,55,85,122,58,75,99,494,Ghost,Grass,Pickup,Frisk,Insomnia,
711.1,Gourgeist (Average),,65,90,122,58,75,84,494,Ghost,Grass,Pickup,Frisk,Insomnia,
711.2,Gourgeist (Large),,75,95,122,58,75,69,494,Ghost,Grass,Pickup,Frisk,Insomnia,
711.3,Gourgeist (Super Size),,85,100,122,58,75,54,494,Ghost,Grass,Pickup,Frisk,Insomnia,
712,Bergmite,,55,69,85,32,35,28,304,Ice,,Own Tempo,Ice Body,Sturdy,Lv. 37
713,Avalugg,,95,117,184,44,46,28,514,Ice,,Own Tempo,Ice Body,Sturdy,
713.1,Avalugg (Hisuian),Hisuian Form,95,127,184,34,36,38,514,Ice,Rock,Strong Jaw,Ice Body,Sturdy,
714,Noibat,,40,30,35,45,40,55,245,Flying,Dragon,Frisk,Infiltrator,Telepathy,Lv. 48
715,Noivern,,85,70,80,97,80,123,535,Flying,Dragon,Frisk,Infiltrator,Telepathy,
716,Xerneas,Legendary,126,131,95,131,98,99,680,Fairy,,Fairy Aura,,,
717,Yveltal,Legendary,126,131,95,131,98,99,680,Dark,Flying,Dark Aura,,,
718,Zygarde (10%),Legendary,54,100,71,61,85,115,486,Dragon,Ground,Aura Break,Power Construct,,
718.1,Zygarde (50%),Legendary,108,100,121,81,95,95,600,Dragon,Ground,Aura Break,Power Construct,,
718.2,Zygarde (Complete),Legendary,216,100,121,81,95,95,708,Dragon,Ground,Power Construct,,,
719,Diancie,Mythical,50,100,150,100,150,50,600,Rock,Fairy,Clear Body,,,
719.1,Diancie (Mega),"Mythical, Mega Evolution",50,160,110,160,110,110,700,Rock,Fairy,Magic Bounce,,,
720,Hoopa (Confined),Mythical,80,110,60,150,130,70,600,Psychic,Ghost,Magician,,,
720.1,Hoopa (Unbound),Mythical,80,160,60,170,130,80,680,Psychic,Dark,Magician,,,
721,Volcanion,Mythical,80,110,120,130,90,70,600,Fire,Water,Water Absorb,,,
722,Rowlet,Starter,68,55,55,50,50,42,320,Grass,Flying,Overgrow ,,Long Reach,Lv. 17
723,Dartrix,Starter,78,75,75,70,70,52,420,Grass,Flying,Overgrow ,,Long Reach,Lv. 34
724,Decidueye,Starter,78,107,75,100,100,70,530,Grass,Ghost,Overgrow ,,Long Reach,
724.1,Decidueye (Hisuian),"Starter, Hisuian Variant",88,112,80,95,95,60,530,Grass,Fighting,Overgrow,,Scrappy,
725,Litten,Starter,45,65,40,60,40,70,320,Fire,,Blaze,,Intimidate,Lv. 17
726,Torracat,Starter,65,85,50,80,50,90,420,Fire,,Blaze,,Intimidate,Lv. 34
727,Incineroar,Starter,95,115,90,80,90,60,530,Fire,Dark,Blaze,,Intimidate,
728,Popplio,Starter,50,54,54,66,56,40,320,Water,,Torrent,,Liquid Voice,Lv. 17
729,Brionne,Starter,60,69,69,91,81,50,420,Water,,Torrent,,Liquid Voice,Lv. 34
730,Primarina,Starter,80,74,74,126,116,60,530,Water,Fairy,Torrent,,Liquid Voice,
731,Pikipek,,35,75,30,30,30,65,265,Normal,Flying,Keen Eye,Skill Link ,Pickup,Lv. 14
732,Trumbeak,,55,85,50,40,50,75,355,Normal,Flying,Keen Eye,Skill Link ,Pickup,Lv. 28
733,Toucannon,,80,120,75,75,75,60,485,Normal,Flying,Keen Eye,Skill Link ,Sheer Force,
734,Yungoos,,48,70,30,30,30,45,253,Normal,,Stakeout,Strong Jaw ,Adaptability,Lv. 20 (Day)
735,Gumshoos,,88,110,60,55,60,45,418,Normal,,Stakeout,Strong Jaw ,Adaptability,
736,Grubbin,,47,62,45,55,45,46,300,Bug,,Swarm,,,Lv. 20
737,Charjabug,,57,82,95,55,75,36,400,Bug,Electric,Battery,,,Thunder Stone
738,Vikavolt,,77,70,90,145,75,43,500,Bug,Electric,Levitate,,,
739,Crabrawler,,47,82,57,42,47,63,338,Fighting,,Hyper Cutter ,Iron Fist ,Anger Point,Ice Stone
740,Crabominable,,97,132,77,62,67,43,478,Fighting,Ice,Hyper Cutter ,Iron Fist ,Anger Point,
741,Oricorio (Baile),,75,70,70,98,70,93,476,Fire,Flying,Dancer,,,
741.1,Oricorio (Pa'u),,75,70,70,98,70,93,476,Psychic,Flying,Dancer,,,
741.2,Oricorio (Pom-Pom),,75,70,70,98,70,93,476,Electric,Flying,Dancer,,,
741.3,Oricorio (Sensu),,75,70,70,98,70,93,476,Ghost,Flying,Dancer,,,
742,Cutiefly,,40,45,40,55,40,84,304,Bug,Fairy,Honey Gather ,Shield Dust ,Sweet Veil,Lv. 25
743,Ribombee,,60,55,60,95,70,124,464,Bug,Fairy,Honey Gather ,Shield Dust ,Sweet Veil,
744,Rockruff,,45,65,40,30,40,60,280,Rock,,Keen Eye ,Vital Spirit ,Steadfast,Lv. 25 (Day)/Lv. 25 (Night)
744.1,Rockruff (Own Tempo),,45,65,40,30,40,60,280,Rock,,Keen Eye ,Vital Spirit ,Own Tempo,Lv. 25 (Dusk)
745,Lycanroc (Midday),,75,115,65,55,65,112,487,Rock,,Keen Eye ,Sand Rush ,Steadfast,
745.1,Lycanroc (Midnight),,85,115,75,55,75,82,487,Rock,,Keen Eye ,Vital Spirit ,No Guard,
745.2,Lycanroc (Dusk),,75,117,65,55,65,110,487,Rock,,Tough Claws,,,
746,Wishiwashi (Solo),,45,20,20,25,25,40,175,Water,,Schooling,,,
746.1,Wishiwashi (School),,45,140,130,140,135,30,620,Water,,Schooling,,,
747,Mareanie,,50,53,62,43,52,45,305,Poison,Water,Merciless ,Limber ,Regenerator,Lv. 38
748,Toxapex,,50,63,152,53,142,35,495,Poison,Water,Merciless ,Limber ,Regenerator,
749,Mudbray,,70,100,70,45,55,45,385,Ground,,Own Tempo,Stamina ,Inner Focus,Lv. 30
750,Mudsdale,,100,125,100,55,85,35,500,Ground,,Own Tempo,Stamina ,Inner Focus,
751,Dewpider,,38,40,52,40,72,27,269,Water,Bug,Water Bubble ,,Water Absorb,Lv. 22
752,Araquanid,,68,70,92,50,132,42,454,Water,Bug,Water Bubble ,,Water Absorb,
753,Fomantis,,40,55,35,50,35,35,250,Grass,,Leaf Guard ,,Contrary,Lv. 34 (Day)
754,Lurantis,,70,105,90,80,90,45,480,Grass,,Leaf Guard ,,Contrary,
755,Morelull,,40,35,55,65,75,15,285,Grass,Fairy,Illuminate ,Effect Spore,Rain Dish,Lv. 24
756,Shiinotic,,60,45,80,90,100,30,405,Grass,Fairy,Illuminate ,Effect Spore,Rain Dish,
757,Salandit,,48,44,40,71,40,77,320,Poison,Fire,Corrosion ,,Oblivious,Lv. 33 (Female)
758,Salazzle,,68,64,60,111,60,117,480,Poison,Fire,Corrosion ,,Oblivious,
759,Stufful,,70,75,50,45,50,50,340,Normal,Fighting,Fluffy ,Klutz ,Cute Charm,Lv. 27
760,Bewear,,120,125,80,55,60,60,500,Normal,Fighting,Fluffy ,Klutz ,Unnerve,
761,Bounsweet,,42,30,38,30,38,32,210,Grass,,Leaf Guard ,Oblivious ,Sweet Veil,Lv. 18
762,Steenee,,52,40,48,40,48,62,290,Grass,,Leaf Guard ,Oblivious ,Sweet Veil,Level Up (Knowing Stomp)
763,Tsareena,,72,120,98,50,98,72,510,Grass,,Leaf Guard ,Queenly Majesty ,Sweet Veil,
764,Comfey,,51,52,90,82,110,100,485,Fairy,,Flower Veil ,Triage ,Natural Cure,
765,Oranguru,,90,60,80,90,110,60,490,Normal,Psychic,Inner Focus ,Telepathy ,Symbiosis,
766,Passimian,,100,120,90,40,60,80,490,Fighting,,Receiver ,,Defiant,
767,Wimpod,,25,35,40,20,30,80,230,Bug,Water,Wimp Out,,,Lv. 30
768,Golisopod,,75,125,140,60,90,40,530,Bug,Water,Emergency Exit,,,
769,Sandygast,,55,55,80,70,45,15,320,Ghost,Ground,Water Compaction ,,Sand Veil,Lv. 42
770,Palossand,,85,75,110,100,75,35,480,Ghost,Ground,Water Compaction ,,Sand Veil,
771,Pyukumuku,,55,60,130,30,130,5,410,Water,,Innards Out,Unaware,Unaware,
772,Type: Null,Sub-Legendary,95,95,95,95,95,59,534,Normal,,Battle Armor,,,Friendship
773,Silvally,Sub-Legendary,95,95,95,95,95,95,570,Normal,,RKS System,,,
774,Minior (Meteor),,60,60,100,60,100,60,440,Rock,Flying,Shields Down,,,
774.1,Minior (Red Core),,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,
774.2,Minior (Orange Core),,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,
774.3,Minior (Yellow Core),,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,
774.4,Minior (Green Core),,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,
774.5,Minior (Blue Core),,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,
774.6,Minior (Indigo Core),,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,
774.7,Minior (Violet Core),,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,
775,Komala,,65,115,65,75,95,65,480,Normal,,Comatose,,,
776,Turtonator,,60,78,135,91,85,36,485,Fire,Dragon,Shell Armor,,,
777,Togedemaru,,65,98,63,40,73,96,435,Electric,Steel,Iron Barbs ,Lightningrod,Sturdy,
778,Mimikyu,,55,90,80,50,105,96,476,Ghost,Fairy,Disguise,,,
779,Bruxish,,68,105,70,70,70,92,475,Water,Psychic,Dazzling ,Strong Jaw ,Wonder Skin,
780,Drampa,,78,60,85,135,91,36,485,Normal,Dragon,Berserk ,Sap Sipper ,Cloud Nine,
781,Dhelmise,,70,131,100,86,90,40,517,Ghost,Grass,Steelworker,,,
782,Jangmo-o,Pseudo Legendary,45,55,65,45,45,45,300,Dragon,,Bulletproof ,Soundproof ,Overcoat,Lv. 35
783,Hakamo-o,Pseudo Legendary,55,75,90,65,70,65,420,Dragon,Fighting,Bulletproof ,Soundproof ,Overcoat,Lv. 45
784,Kommo-o,Pseudo Legendary,75,110,125,100,105,85,600,Dragon,Fighting,Bulletproof ,Soundproof ,Overcoat,
785,Tapu Koko,Sub-Legendary,70,115,85,95,75,130,570,Electric,Fairy,Electric Surge ,Telepathy,,
786,Tapu Lele,Sub-Legendary,70,85,75,130,115,95,570,Psychic,Fairy,Psychic Surge ,Telepathy,,
787,Tapu Bulu,Sub-Legendary,70,130,115,85,95,75,570,Grass,Fairy,Grassy Surge ,Telepathy,,
788,Tapu Fini,Sub-Legendary,70,75,115,95,130,85,570,Water,Fairy,Misty Surge ,Telepathy,,
789,Cosmog,Legendary,43,29,31,29,31,37,200,Psychic,,Unaware,,,Lv. 43
790,Cosmoem,Legendary,43,29,131,29,131,37,400,Psychic,,Sturdy,,,Lv. 53 (Sun/Sword)/Lv. 53 (Moon/Shield)
791,Solgaleo,Legendary,137,137,107,113,89,97,680,Psychic,Steel,Full Metal Body,,,
792,Lunala,Legendary,137,113,89,137,107,97,680,Psychic,Ghost,Shadow Shield,,,
793,Nihilego,Ultra Beast,109,53,47,127,131,103,570,Rock,Poison,Beast Boost,,,
794,Buzzwole,Ultra Beast,107,139,139,53,53,79,570,Bug,Fighting,Beast Boost,,,
795,Pheromosa,Ultra Beast,71,137,37,137,37,151,570,Bug,Fighting,Beast Boost,,,
796,Xurkitree,Ultra Beast,83,89,71,173,71,83,570,Electric,,Beast Boost,,,
797,Celesteela,Ultra Beast,97,101,103,107,101,61,570,Steel,Flying,Beast Boost,,,
798,Kartana,Ultra Beast,59,181,131,59,31,109,570,Grass,Steel,Beast Boost,,,
799,Guzzlord,Ultra Beast,223,101,53,97,53,43,570,Dark,Dragon,Beast Boost,,,
800,Necrozma,Legendary,97,107,101,127,89,79,600,Psychic,,Prism Armor,,,
800.1,Necrozma (Dusk Mane),Legendary,97,157,127,113,109,77,680,Psychic,Steel,Prism Armor,,,
800.2,Necrozma (Dawn Wings),Legendary,97,113,109,157,127,77,680,Psychic,Ghost,Prism Armor,,,
800.3,Necrozma (Ultra),"Legendary, Mega Evolution",97,167,97,167,97,129,754,Psychic,Dragon,Neuroforce,,,
801,Magearna,Mythical,80,95,115,130,115,65,600,Steel,Fairy,Soul-Heart,,,
801.1,Magearna (Original Color),Mythical,80,95,115,130,115,65,600,Steel,Fairy,Soul-Heart,,,
802,Marshadow,Mythical,90,125,80,90,90,125,600,Fighting,Ghost,Technician,,,
803,Poipole,Ultra Beast,67,73,67,73,67,73,420,Poison,,Beast Boost,,,Level Up (Knowing Dragon Pulse)
804,Naganadel,Ultra Beast,73,73,73,127,73,121,540,Poison,Dragon,Beast Boost,,,
805,Stakataka,Ultra Beast,61,131,211,53,101,13,570,Rock,Steel,Beast Boost,,,
806,Blacephalon,Ultra Beast,53,127,53,151,79,107,570,Fire,Ghost,Beast Boost,,,
807,Zeraora,Mythical,88,112,75,102,80,143,600,Electric,,Volt Absorb,,,
808,Meltan,Mythical,46,65,65,55,35,34,300,Steel,,Magnet Pull,,,400 Candies (Pokemon Go)
809,Melmetal,Mythical,135,143,143,80,65,34,600,Steel,,Iron Fist,,,
810,Grookey,Starter,50,65,50,40,40,65,310,Grass,,Overgrow,,Grassy Surge,Lv. 16
811,Thwackey,Starter,70,85,70,55,60,80,420,Grass,,Overgrow,,Grassy Surge,Lv. 35
812,Rillaboom,Starter,100,125,90,60,70,85,530,Grass,,Overgrow,,Grassy Surge,
813,Scorbunny,Starter,50,71,40,40,40,69,310,Fire,,Blaze,,Libero,Lv. 16
814,Raboot,Starter,65,86,60,55,60,94,420,Fire,,Blaze,,Libero,Lv. 35
815,Cinderace,Starter,80,116,75,65,75,119,530,Fire,,Blaze,,Libero,
816,Sobble,Starter,50,40,40,70,40,70,310,Water,,Torrent,,Sniper,Lv. 16
817,Drizzile,Starter,65,60,55,95,55,90,420,Water,,Torrent,,Sniper,Lv. 35
818,Inteleon,Starter,70,85,65,125,65,120,530,Water,,Torrent,,Sniper,
819,Skwovet,,70,55,55,35,35,25,275,Normal,,Cheek Pouch,,Gluttony,Lv. 24
820,Greedent,,120,95,95,55,75,20,460,Normal,,Cheek Pouch,,Gluttony,
821,Rookidee,,38,47,35,33,35,57,245,Flying,,Keen Eye,Unnerve,Big Pecks,Lv. 18
822,Corvisquire,,68,67,55,43,55,77,365,Flying,,Keen Eye,Unnerve,Big Pecks,Lv. 38
823,Corviknight,,98,87,105,53,85,67,495,Flying,Steel,Pressure,Unnerve,Mirror Armor,
824,Blipbug,,25,20,20,25,45,45,180,Bug,,Swarm,Compound Eyes,Telepathy,Lv. 10
825,Dottler,,50,35,80,50,90,30,335,Bug,Psychic,Swarm,Compound Eyes,Telepathy,Lv. 30
826,Orbeetle,,60,45,110,80,120,90,505,Bug,Psychic,Swarm,Frisk,Telepathy,
827,Nickit,,40,28,28,47,52,50,245,Dark,,Run Away,Unburden,Stakeout,Lv. 18
828,Thievul,,70,58,58,87,92,90,455,Dark,,Run Away,Unburden,Stakeout,
829,Gossifleur,,40,40,60,40,60,10,250,Grass,,Cotton Down,Regenerator,Effect Spore,Lv. 20
830,Eldegoss,,60,50,90,80,120,60,460,Grass,,Cotton Down,Regenerator,Effect Spore,
831,Wooloo,,42,40,55,40,45,48,270,Normal,,Fluffy ,Run Away,Bulletproof,Lv. 24
832,Dubwool,,72,80,100,60,90,88,490,Normal,,Fluffy ,Steadfast,Bulletproof,
833,Chewtle,,50,64,50,38,38,44,284,Water,,Strong Jaw,Shell Armor,Swift Swim,Lv. 22
834,Drednaw,,90,115,90,48,68,74,485,Water,Rock,Strong Jaw,Shell Armor,Swift Swim,
835,Yamper,,59,45,50,40,50,26,270,Electric,,Ball Fetch,,Rattled,Lv. 25
836,Boltund,,69,90,60,90,60,121,490,Electric,,Strong Jaw,,Competitive,
837,Rolycoly,,30,40,50,40,50,30,240,Rock,,Steam Engine,Heatproof,Flash Fire,Lv. 18
838,Carkol,,80,60,90,60,70,50,410,Rock,Fire,Steam Engine,Flame Body,Flash Fire,Lv. 34
839,Coalossal,,110,80,120,80,90,30,510,Rock,Fire,Steam Engine,Flame Body,Flash Fire,
840,Applin,,40,40,80,40,40,20,260,Grass,Dragon,Ripen,Gluttony,Bulletproof,Tart Apple
841,Flapple,,70,110,80,95,60,70,485,Grass,Dragon,Ripen,Gluttony,Hustle,Sweet Apple
842,Appletun,,110,85,80,100,80,30,485,Grass,Dragon,Ripen,Gluttony,Thick Fat,
843,Silicobra,,52,57,75,35,50,46,315,Ground,,Sand Spit,Shed Skin,Sand Veil,Lv. 36
844,Sandaconda,,72,107,125,65,70,71,510,Ground,,Sand Spit,Shed Skin,Sand Veil,
845,Cramorant,,70,85,55,85,95,85,475,Flying,Water,Gulp Missile,,,
846,Arrokuda,,41,63,40,40,30,66,280,Water,,Swift Swim,,Propeller Tail,Lv. 26
847,Barraskewda,,61,123,60,60,50,136,490,Water,,Swift Swim,,Propeller Tail,
848,Toxel,Baby,40,38,35,54,35,40,242,Electric,Poison,Rattled,Static,Klutz,Lv. 30
849,Toxtricity (Amped),,75,98,70,114,70,75,502,Electric,Poison,Punk Rock,Plus,Technician,
849.1,Toxtricity (Low Key),,75,98,70,114,70,75,502,Electric,Poison,Punk Rock,Minus,Technician,
850,Sizzlipede,,50,65,45,50,50,45,305,Fire,Bug,Flash Fire,White Smoke,Flame Body,Lv. 28
851,Centiskorch,,100,115,65,90,90,65,525,Fire,Bug,Flash Fire,White Smoke,Flame Body,
852,Clobbopus,,50,68,60,50,50,32,310,Fighting,,Limber,,Technician,Level Up (Knowing Taunt)
853,Grapploct,,80,118,90,70,80,42,480,Fighting,,Limber,,Technician,
854,Sinistea,,40,45,45,74,54,50,308,Ghost,,Weak Armor,,Cursed Body,Cracked Pot/Chipped Pot
855,Polteageist,,60,65,65,134,114,70,508,Ghost,,Weak Armor,,Cursed Body,
856,Hatenna,,42,30,45,56,53,39,265,Psychic,,Healer,Anticipation,Magic Bounce,Lv. 32
857,Hattrem,,57,40,65,86,73,49,370,Psychic,,Healer,Anticipation,Magic Bounce,Lv. 42
858,Hatterene,,57,90,95,136,103,29,510,Psychic,Fairy,Healer,Anticipation,Magic Bounce,
859,Impidimp,,45,45,30,55,40,50,265,Dark,Fairy,Prankster,Frisk,Pickpocket,Lv. 32
860,Morgrem,,65,60,45,75,55,70,370,Dark,Fairy,Prankster,Frisk,Pickpocket,Lv. 42
861,Grimmsnarl,,95,120,65,95,75,60,510,Dark,Fairy,Prankster,Frisk,Pickpocket,
862,Obstagoon,,93,90,101,60,81,95,520,Dark,Normal,Reckless,Guts,Defiant,
863,Perrserker,,70,110,100,50,60,50,440,Steel,,Battle Armor,Tough Claws,Steely Spirit,
864,Cursola,,60,95,50,145,130,30,510,Ghost,,Weak Armor,,Perish Body,
865,Sirfetch'd,,62,135,95,68,82,65,507,Fighting,,Steadfast,,Scrappy,
866,Mr. Rime,,80,85,75,110,100,70,520,Ice,Psychic,Tangled Feet,Screen Cleaner,Ice Body,
867,Runerigus,,58,95,145,50,105,30,483,Ground,Ghost,Wandering Spirit,,,
868,Milcery,,45,40,40,50,61,34,270,Fairy,,Sweet Veil,,Aroma Veil,Spin in Overworld (Holding Sweet)
869,Alcremie (VaCr/SaCr),,65,60,75,110,121,64,495,Fairy,,Sweet Veil,,Aroma Veil,
869.1,Alcremie (RuCr),,65,60,75,110,121,64,495,Fairy,,Sweet Veil,,Aroma Veil,
869.2,Alcremie (MaCr),,65,60,75,110,121,64,495,Fairy,,Sweet Veil,,Aroma Veil,
869.3,Alcremie (MiCr),,65,60,75,110,121,64,495,Fairy,,Sweet Veil,,Aroma Veil,
869.4,Alcremie (LeCr/RuSw/RaSw),,65,60,75,110,121,64,495,Fairy,,Sweet Veil,,Aroma Veil,
869.7,Alcremie (CaSw),,65,60,75,110,121,64,495,Fairy,,Sweet Veil,,Aroma Veil,
870,Falinks,,65,100,100,70,60,75,470,Fighting,,Battle Armor,,Defiant,
871,Pincurchin,,48,101,95,91,85,15,435,Electric,,Lightningrod,,Electric Surge,
872,Snom,,30,25,35,45,30,20,185,Ice,Bug,Shield Dust,,Ice Scales,Friendship (Night)
873,Frosmoth,,70,65,60,125,90,65,475,Ice,Bug,Shield Dust,,Ice Scales,
874,Stonjourner,,100,125,135,20,20,70,470,Rock,,Power Spot,,,
